CNA____NBNA_1	6.131941	49.607926	17.000000
randUni11317:1	6.141043	49.597474	17.000000
randUni16882:1	6.175804	49.636143	17.000000
randUni18368:1	6.124590	49.602830	17.000000
randUni20481:1	6.136600	49.603401	17.000000
randUni834:1	6.105203	49.616986	17.000000
0DEtoFR.0	6.182101	49.635518	18.000000
0DEtoFR.1	6.183422	49.637306	18.000000
0DEtoFR.2	6.184947	49.638485	18.000000
0DEtoLU.0	6.185220	49.638649	18.000000
0LUtoBE.0	6.128281	49.566347	18.000000
CNA____NBNA_0	6.171082	49.632267	18.000000
CNA____NBNA_1	6.131873	49.608025	18.000000
randUni11317:1	6.140831	49.597468	18.000000
randUni16882:1	6.175881	49.636086	18.000000
randUni18368:1	6.124752	49.602805	18.000000
randUni20481:1	6.136643	49.603471	18.000000
randUni834:1	6.105056	49.617044	18.000000
0DEtoFR.0	6.181981	49.635270	19.000000
0DEtoFR.1	6.183169	49.637038	19.000000
0DEtoFR.2	6.184716	49.638335	19.000000
0DEtoLU.0	6.185008	49.638522	19.000000
0LUtoBE.0	6.128162	49.566600	19.000000
CNA____NBNA_0	6.171082	49.632267	19.000000
CNA____NBNA_1	6.131807	49.608122	19.000000
randUni11317:1	6.140589	49.597461	19.000000
randUni16882:1	6.175972	49.636021	19.000000
randUni18368:1	6.124886	49.602737	19.000000
randUni20481:1	6.136693	49.603553	19.000000
randUni834:1	6.104915	49.617118	19.000000
0DEtoFR.0	6.181876	49.635012	20.000000
0DEtoFR.1	6.182911	49.636741	20.000000
0DEtoFR.2	6.184472	49.638164	20.000000
0DEtoLU.0	6.184783	49.638379	20.000000
0LUtoBE.0	6.128028	49.566864	20.000000
CNA____NBNA_0	6.171082	49.632267	20.000000
CNA____NBNA_1	6.131740	49.608222	20.000000
randUni11317:1	6.140409	49.597456	20.000000
randUni16882:1	6.176077	49.635946	20.000000
randUni18368:1	6.125010	49.602653	20.000000
randUni20481:1	6.136755	49.603652	20.000000
randUni834:1	6.104741	49.617134	20.000000
0DEtoFR.0	6.181781	49.634758	21.000000
0DEtoFR.1	6.182674	49.636444	21.000000
0DEtoFR.2	6.184216	49.637977	21.000000
0DEtoLU.0	6.184545	49.638217	21.000000
0LUtoBE.0	6.127866	49.567150	21.000000
AVL---_CN_1_0	6.110308	49.600030	21.000000
AVL---_CN_1_1	6.133518	49.600232	21.000000
CNA____NBNA_0	6.171082	49.632267	21.000000
CNA____NBNA_1	6.131678	49.608318	21.000000
randUni11317:1	6.140287	49.597451	21.000000
randUni16882:1	6.176201	49.635856	21.000000
randUni18368:1	6.125106	49.602567	21.000000
randUni20481:1	6.136863	49.603736	21.000000
randUni834:1	6.104557	49.617148	21.000000
0DEtoFR.0	6.181693	49.634496	22.000000
0DEtoFR.1	6.182459	49.636138	22.000000
